00400000	MZ	"MZ"	char[2]
009e0d4c	objects	"objects"	ds
009e0d54	models	"models"	ds
009e0d5c	animation	"animation"	ds
009e0d6c	world	"world"	ds
009e0d74	general	"general"	ds
009e0d7c	bad allocation	"bad allocation"	ds
009e0e0b	>delete	">delete"	ds
009e0e18	delete[]	"delete[]"	ds
009e0e54	DEBUGACTION: 	"DEBUGACTION: "	ds
009e0e6c	Level: %s	"Level: %s"	ds
009e0e78	Total: %s	"Total: %s"	ds
009e0e84	Time played:	"Time played:"	ds
009e0e94	.\Client.cpp	".\\Client.cpp"	ds
009e0ea4	World transfer pending...	"World transfer pending..."	ds
009e0ec0	%04d.txt	"%04d.txt"	ds
009e0ecc	ClientMovement.txt	"ClientMovement.txt"	ds
009e0ee0	World of Warcraft\Client	"World of Warcraft\\Client"	ds
009e0efc	MoveLogFile	"MoveLogFile"	ds
009e0f08	Error display disabled	"Error display disabled"	ds
009e0f20	Error display enabled	"Error display enabled"	ds
009e0f38	Error display hidden	"Error display hidden"	ds
009e0f50	Error display shown	"Error display shown"	ds
009e0f64	 through warnings	" through warnings"	ds
009e0f78	 through errors	" through errors"	ds
009e0f88	 through fatal errors	" through fatal errors"	ds
009e0fa0	fatal errors	"fatal errors"	ds
009e0fb0	errors	"errors"	ds
009e0fb8	warnings	"warnings"	ds
009e0fc4	informational messages	"informational messages"	ds
009e0fdc	only 	"only "	ds
009e0fe4	Displaying 	"Displaying "	ds
009e0ff0	Displaying all system messages	"Displaying all system messages"	ds
009e1010	%i is not valid, valid values are 0 - %i	"%i is not valid, valid values are 0 - %i"	ds
009e103c	Now filtering: %s	"Now filtering: %s"	ds
009e1054	Now filtering: all messages	"Now filtering: all messages"	ds
009e1070	         i.e.: all except objects	"         i.e.: all except objects"	ds
009e1094	         use "except" to invert mask	"         use \"except\" to invert mask"	ds
009e10c0	Filters: general world ui animation models objects sound movement all	"Filters: general world ui animation models objects sound movement all"	ds
009e1108	Unknown filter %s	"Unknown filter %s"	ds
009e111c	except	"except"	ds
009e1137	:accounttype	":accounttype"	ds
009e1144	Account Type	"Account Type"	ds
009e1154	converted	"converted"	ds
009e1160	Trial to Retail	"Trial to Retail"	ds
009e1170	showToolsUI	"showToolsUI"	ds
009e117c	Display the launcher when starting the game	"Display the launcher when starting the game"	ds
009e11ac	screenshotQuality	"screenshotQuality"	ds
009e11c0	Set the quality of screenshots (1 - 10)	"Set the quality of screenshots (1 - 10)"	ds
009e11e8	screenshotFormat	"screenshotFormat"	ds
009e11fc	Set the format of screenshots	"Set the format of screenshots"	ds
009e1224	readContest	"readContest"	ds
009e1230	Status of the Contest notice	"Status of the Contest notice"	ds
009e1250	readScanning	"readScanning"	ds
009e1260	Status of the Scanning notice	"Status of the Scanning notice"	ds
009e1280	readTerminationWithoutNotice	"readTerminationWithoutNotice"	ds
009e12a0	Status of the Termination without Notice notice	"Status of the Termination without Notice notice"	ds
009e12d0	readEULA	"readEULA"	ds
009e12dc	Status of the EULA	"Status of the EULA"	ds
009e12f0	readTOS	"readTOS"	ds
009e12f8	Status of the TOS	"Status of the TOS"	ds
009e130c	lastCharacterIndex	"lastCharacterIndex"	ds
009e1320	Last character selected	"Last character selected"	ds
009e1338	Gamma	"Gamma"	ds
009e1344	DesktopGamma	"DesktopGamma"	ds
009e1354	ErrorFilter	"ErrorFilter"	ds
009e1360	ErrorLevelMax	"ErrorLevelMax"	ds
009e1374	ErrorLevelMin	"ErrorLevelMin"	ds
009e1388	ShowErrors	"ShowErrors"	ds
009e1394	Errors	"Errors"	ds
009e139c	mouseSpeed	"mouseSpeed"	ds
009e13a8	%1.1f	"%1.1f"	ds
009e13b0	checkAddonVersion	"checkAddonVersion"	ds
009e13c4	Check interface addon version number	"Check interface addon version number"	ds
009e13ec	movieSubtitle	"movieSubtitle"	ds
009e13fc	Show movie subtitles	"Show movie subtitles"	ds
009e1414	expansionMovie	"expansionMovie"	ds
009e1424	Show expansion movie on startup	"Show expansion movie on startup"	ds
009e1444	movie	"movie"	ds
009e144c	Show movie on startup	"Show movie on startup"	ds
009e1468	g_accountUsesToken	"g_accountUsesToken"	ds
009e147c	Saved whether uses authenticator	"Saved whether uses authenticator"	ds
009e14a4	accountList	"accountList"	ds
009e14b0	List of wow accounts for saved Blizzard account	"List of wow accounts for saved Blizzard account"	ds
009e14e0	accountName	"accountName"	ds
009e14ec	Saved account name	"Saved account name"	ds
009e1508	reloadUI	"reloadUI"	ds
009e1514	timingInfo	"timingInfo"	ds
009e1520	componentCompress	"componentCompress"	ds
009e1534	Character component texture compression	"Character component texture compression"	ds
009e155c	componentThread	"componentThread"	ds
009e156c	Multi thread character component processing	"Multi thread character component processing"	ds
009e1598	componentTextureLevel	"componentTextureLevel"	ds
009e15b0	Number of mip levels used for character component textures	"Number of mip levels used for character component textures"	ds
009e15f0	Texture atlas disabled.	"Texture atlas disabled."	ds
009e1608	Specified mask %08x is greater than the maximum allowable value of %08x	"Specified mask %08x is greater than the maximum allowable value of %08x"	ds
009e1650	Texture cache size (%d meg) greater than maximum allowed for your system (%d meg).	"Texture cache size (%d meg) greater than maximum allowed for your system (%d meg)."	ds
009e16a4	Texture cache size set to %d meg.	"Texture cache size set to %d meg."	ds
009e16c8	Texture filtering mode must be in range 0 to %d.	"Texture filtering mode must be in range 0 to %d."	ds
009e16fc	Doodad batching disabled.	"Doodad batching disabled."	ds
009e1718	Doodad batching enabled.	"Doodad batching enabled."	ds
009e1734	Particle batching disabled.	"Particle batching disabled."	ds
009e1750	Particle batching enabled.	"Particle batching enabled."	ds
009e176c	Sorting particles normally.	"Sorting particles normally."	ds
009e1788	Sorting all particles as though they were additive.	"Sorting all particles as though they were additive."	ds
009e17bc	gxStereoSeparation	"gxStereoSeparation"	ds
009e17d0	gxStereoConvergence	"gxStereoConvergence"	ds
009e17e4	gxStereoEnabled	"gxStereoEnabled"	ds
009e17f4	windowResizeLock	"windowResizeLock"	ds
009e1808	asyncHandlerTimeout	"asyncHandlerTimeout"	ds
009e181c	Engine option: Async read main thread timeout	"Engine option: Async read main thread timeout"	ds
009e1850	asyncThreadSleep	"asyncThreadSleep"	ds
009e1864	Engine option: Async read thread sleep	"Engine option: Async read thread sleep"	ds
009e188c	M2FasterDebug	"M2FasterDebug"	ds
009e189c	programmer control of scene optimization mode	"programmer control of scene optimization mode"	ds
009e18cc	M2Faster	"M2Faster"	ds
009e18d8	end user control of scene optimization mode - (0-3)	"end user control of scene optimization mode - (0-3)"	ds
009e190c	M2ForceAdditiveParticleSort	"M2ForceAdditiveParticleSort"	ds
009e1928	force all particles to sort as though they were additive	"force all particles to sort as though they were additive"	ds
009e1964	M2BatchParticles	"M2BatchParticles"	ds
009e1978	combine particle emitters to reduce batch count	"combine particle emitters to reduce batch count"	ds
009e19a8	M2BatchDoodads	"M2BatchDoodads"	ds
009e19b8	combine doodads to reduce batch count	"combine doodads to reduce batch count"	ds
009e19e0	M2UseThreads	"M2UseThreads"	ds
009e19f0	multithread model animations	"multithread model animations"	ds
009e1a10	M2UseClipPlanes	"M2UseClipPlanes"	ds
009e1a20	use clip planes for sorting transparent objects	"use clip planes for sorting transparent objects"	ds
009e1a50	M2UseZFill	"M2UseZFill"	ds
009e1a5c	z-fill transparent objects	"z-fill transparent objects"	ds
009e1a80	product	"product"	ds
009e1a88	World of Warcraft	"World of Warcraft"	ds
009e1a9c	World of Warcraft\PTR	"World of Warcraft\\PTR"	ds
009e1ab4	RetailInstallPath	"RetailInstallPath"	ds
009e1ad8	%s%s%s	"%s%s%s"	ds
009e1ae0	Format version in %s file is not supported.	"Format version in %s file is not supported."	ds
009e1b14	Illegal scope string %s in %s: must be "RELEASE".	"Illegal scope string %s in %s: must be \"RELEASE\"."	ds
009e1b48	RELEASE	"RELEASE"	ds
009e1b50	Signature string (%s) in %s file does not match game's signature version (%d).	"Signature string (%s) in %s file does not match game's signature version (%d)."	ds
009e1ba0	Could not authenticate the %s file.	"Could not authenticate the %s file."	ds
009e1bc4	file: %s	"file: %s"	ds
009e1bd0	signaturefile	"signaturefile"	ds
009e1d30	uptodate	"uptodate"	ds
009e1d3c	nosound	"nosound"	ds
009e1d44	soundchaos	"soundchaos"	ds
009e1d50	nofixlag	"nofixlag"	ds
009e1d68	windowed	"windowed"	ds
009e1d74	hwdetect	"hwdetect"	ds
009e1d80	console	"console"	ds
009e1d88	gxoverride	"gxoverride"	ds
009e1d94	  %d - %s	"  %d - %s"	ds
009e1da0	'%s' is not a valid timing method. Valid methods are:	"'%s' is not a valid timing method. Valid methods are:"	ds
009e1dd8	Timing test error: %d	"Timing test error: %d"	ds
009e1df0	Timing method selected: %d - %s	"Timing method selected: %d - %s"	ds
009e1e10	Timing method desired: %d - %s	"Timing method desired: %d - %s"	ds
009e1e30	timingTestError	"timingTestError"	ds
009e1e40	timingMethod	"timingMethod"	ds
009e1e50	Realm: ???	"Realm: ???"	ds
009e1e64	Realm: 	"Realm: "	ds
009e1e6c	%s: %s, %016I64X, (%g,%g,%g)
	"%s: %s, %016I64X, (%g,%g,%g)\r\n"	ds
009e1e8c	%s %s	"%s %s"	ds
009e1e94	WowError.exe	"WowError.exe"	ds
009e1ea4	InstallPath	"InstallPath"	ds
009e1eb0	World of Warcraft Trial	"World of Warcraft Trial"	ds
009e1ec8	Blizzard Entertainment World of Warcraft	"Blizzard Entertainment World of Warcraft"	ds
009e1ef4	WoW.stor	"WoW.stor"	ds
009e1f00	locale	"locale"	ds
009e1f08	SpeedTest	"SpeedTest"	ds
009e1f18	d:\buildserver\wow\1\work\wow-code\branches\wow-patch-3_3_5_a-bnet\wow\source\Object/ObjectClient/Player_C.h	"d:\\buildserver\\wow\\1\\work\\wow-code\\branches\\wow-patch-3_3_5_a-bnet\\wow\\source\\Object/ObjectClient/Player_C.h"	ds
009e1f88	World transfer aborted...	"World transfer aborted..."	ds
009e1fa4	TRANSFER_ABORT_MAP_NOT_ALLOWED	"TRANSFER_ABORT_MAP_NOT_ALLOWED"	ds
009e1fc4	TRANSFER_ABORT_TOO_MANY_REALM_INSTANCES	"TRANSFER_ABORT_TOO_MANY_REALM_INSTANCES"	ds
009e1fec	TRANSFER_ABORT_UNIQUE_MESSAGE%d	"TRANSFER_ABORT_UNIQUE_MESSAGE%d"	ds
009e200c	TRANSFER_ABORT_DIFFICULTY%d	"TRANSFER_ABORT_DIFFICULTY%d"	ds
009e2028	TRANSFER_ABORT_REALM_ONLY	"TRANSFER_ABORT_REALM_ONLY"	ds
009e2044	TRANSFER_ABORT_NEED_GROUP	"TRANSFER_ABORT_NEED_GROUP"	ds
009e2060	TRANSFER_ABORT_INSUF_EXPAN_LVL%d	"TRANSFER_ABORT_INSUF_EXPAN_LVL%d"	ds
009e2084	TRANSFER_ABORT_ZONE_IN_COMBAT	"TRANSFER_ABORT_ZONE_IN_COMBAT"	ds
009e20a4	TRANSFER_ABORT_TOO_MANY_INSTANCES	"TRANSFER_ABORT_TOO_MANY_INSTANCES"	ds
009e20c8	TRANSFER_ABORT_NOT_FOUND	"TRANSFER_ABORT_NOT_FOUND"	ds
009e20e4	TRANSFER_ABORT_MAX_PLAYERS	"TRANSFER_ABORT_MAX_PLAYERS"	ds
009e2100	TRANSFER_ABORT_ERROR	"TRANSFER_ABORT_ERROR"	ds
009e2118	Bad SMSG_NEW_WORLD zoneID
	"Bad SMSG_NEW_WORLD zoneID\n"	ds
009e2134	Bad SMSG_NEW_WORLD
	"Bad SMSG_NEW_WORLD\n"	ds
009e2174	login	"login"	ds
009e217f	AEnableVoiceChat	"AEnableVoiceChat"	ds
009e21ac	textureCacheSize	"textureCacheSize"	ds
009e21c0	Texture cache size in bytes	"Texture cache size in bytes"	ds
009e21e0	UIFaster	"UIFaster"	ds
009e21ec	UI acceleration option	"UI acceleration option"	ds
009e2204	textureFilteringMode	"textureFilteringMode"	ds
009e221c	Texture filtering mode	"Texture filtering mode"	ds
009e2234	world\liquid.tex	"world\\liquid.tex"	ds
009e2248	world\model.blob	"world\\model.blob"	ds
009e2264	Local Zone: 	"Local Zone: "	ds
009e2274	Settings: 
	"Settings: \r\n"	ds
009e2284	Add Ons: 	"Add Ons: "	ds
009e2290	Current Addon object: %s
	"Current Addon object: %s\n"	ds
009e22ac	Current Addon function: %s
	"Current Addon function: %s\n"	ds
009e22c8	Current Addon: %s
	"Current Addon: %s\n"	ds
009e22dc	Total lua memory: %dKB
	"Total lua memory: %dKB\n"	ds
009e22f4	Cursor Item	"Cursor Item"	ds
009e2300	Last Enemy Target	"Last Enemy Target"	ds
009e2314	Locked Target	"Locked Target"	ds
009e2324	Interact Target	"Interact Target"	ds
009e2334	Current Object Track	"Current Object Track"	ds
009e234c	Attacking Target	"Attacking Target"	ds
009e2360	Local Player	"Local Player"	ds
009e2370	WoWBuild: %d
	"WoWBuild: %d\r\n"	ds
009e238f	@BENCHMARK_TAXI_AVERAGE_FPS	"@BENCHMARK_TAXI_AVERAGE_FPS"	ds
009e23af	OBENCHMARK_TAXI_MAX_FPS	"OBENCHMARK_TAXI_MAX_FPS"	ds
009e23c8	BENCHMARK_TAXI_MIN_FPS	"BENCHMARK_TAXI_MIN_FPS"	ds
009e23e0	BENCHMARK_TAXI_RESULTS	"BENCHMARK_TAXI_RESULTS"	ds
009e23ff	?d:\buildserver\wow\1\work\wow-code\branches\wow-patch-3_3_5_a-bnet\wow\source\DB/WowClientDB.h	"?d:\\buildserver\\wow\\1\\work\\wow-code\\branches\\wow-patch-3_3_5_a-bnet\\wow\\source\\DB/WowClientDB.h"	ds
009e2460	%s: Cannot read string table	"%s: Cannot read string table"	ds
009e2480	Unable to read string size from %s	"Unable to read string size from %s"	ds
009e24a4	%s has wrong row size (found %i, expected %i)	"%s has wrong row size (found %i, expected %i)"	ds
009e24d4	Unable to read row size from %s	"Unable to read row size from %s"	ds
009e24f4	%s has wrong number of columns (found %i, expected %i)	"%s has wrong number of columns (found %i, expected %i)"	ds
009e252c	Unable to read column count from %s	"Unable to read column count from %s"	ds
009e2550	Unable to read record count from %s	"Unable to read record count from %s"	ds
009e2574	Invalid signature 0x%x from %s	"Invalid signature 0x%x from %s"	ds
009e2594	Unable to read signature from %s	"Unable to read signature from %s"	ds
009e25b8	Unable to open %s	"Unable to open %s"	ds
009e25cc	%s already loaded! Aborting to prevent memory leak!	"%s already loaded! Aborting to prevent memory leak!"	ds
009e2600	Bad zone ID %i	"Bad zone ID %i"	ds
009e2638	d:\buildserver\wow\1\work\wow-code\branches\wow-patch-3_3_5_a-bnet\wow\source\WowServices/PatchFiles.h	"d:\\buildserver\\wow\\1\\work\\wow-code\\branches\\wow-patch-3_3_5_a-bnet\\wow\\source\\WowServices/PatchFiles.h"	ds
009e26a0	patch-%s-2.MPQ	"patch-%s-2.MPQ"	ds
009e26b0	patch-2.MPQ	"patch-2.MPQ"	ds
009e26bc	patch-%s-3.MPQ	"patch-%s-3.MPQ"	ds
009e26cc	patch-3.MPQ	"patch-3.MPQ"	ds
009e26d8	patch-%s-4.MPQ	"patch-%s-4.MPQ"	ds
009e26e8	patch-4.MPQ	"patch-4.MPQ"	ds
009e26f4	patch.MPQ	"patch.MPQ"	ds
009e2700	patch-%s-?.MPQ	"patch-%s-?.MPQ"	ds
009e2710	patch-?.MPQ	"patch-?.MPQ"	ds
009e271c	patch-%s.MPQ	"patch-%s.MPQ"	ds
009e272c	..\Data\%s\	"..\\Data\\%s\\"	ds
009e2738	Data\%s\	"Data\\%s\\"	ds
009e2754	Country	"Country"	ds
009e275c	Language	"Language"	ds
009e2768	WoW Config	"WoW Config"	ds
009e2774	Region	"Region"	ds
009e277c	Wow.ini	"Wow.ini"	ds
009e2784	Missing or corrupted data	"Missing or corrupted data"	ds
009e27a0	Failed to open archive %s.	"Failed to open archive %s."	ds
009e27c0	Failed to read data from the network. Please check your Internet connection and try again.

Debug Details:

%s%sStorm Error Msg:%s	"Failed to read data from the network. Please check your Internet connection and try again.\n\nDebug Details:\n\n%s%sStorm Error Msg:%s"	ds
009e2864	Start.MPQ	"Start.MPQ"	ds
009e2878	charselect	"charselect"	ds
009e2884	RunOnce*.wtf	"RunOnce*.wtf"	ds
009e2894	%sWTF\	"%sWTF\\"	ds
009e28a0	Desired method for game timing	"Desired method for game timing"	ds
009e28c0	Error reported by the timing validation system	"Error reported by the timing validation system"	ds
009e28f4	videoOptionsVersion	"videoOptionsVersion"	ds
009e2908	processAffinityMask	"processAffinityMask"	ds
009e2920	Sets which core(s) WoW may execute on - changes require restart to take effect	"Sets which core(s) WoW may execute on - changes require restart to take effect"	ds
009e2970	useEnglishAudio	"useEnglishAudio"	ds
009e2980	override the locale and use English audio	"override the locale and use English audio"	ds
009e29ac	Set the game locale	"Set the game locale"	ds
009e29c0	dbCompress	"dbCompress"	ds
009e29cc	Database compression	"Database compression"	ds
009e29e4	Config.wtf	"Config.wtf"	ds
009e29f0	WTF/Account	"WTF/Account"	ds
009e29fc	WoW.mfil	"WoW.mfil"	ds
009e2a08	Unknown Error	"Unknown Error"	ds
009e2a18	World of WarCraft (build 12340)	"World of WarCraft (build 12340)"	ds
009e2a38	SendErrorLogs	"SendErrorLogs"	ds
009e2acf	Fplayer hidden	"Fplayer hidden"	ds
009e2ae0	player visible	"player visible"	ds
009e2af0	togglecloak	"togglecloak"	ds
009e2afc	togglehelm	"togglehelm"	ds
009e2b08	showplayer	"showplayer"	ds
009e2b14	setrawpos	"setrawpos"	ds
009e2b20	worldport	"worldport"	ds
009e2b2c	charmport	"charmport"	ds
009e2b43	<Coordinates out of range
	"<Coordinates out of range\n"	ds
009e2b60	Usage: port [x y z] [facing]	"Usage: port [x y z] [facing]"	ds
009e2b88	Bad world number: %i
	"Bad world number: %i\n"	ds
009e2ba0	Porting to %s	"Porting to %s"	ds
009e2bb0	Could not find location: %s	"Could not find location: %s"	ds
009e2bcc	Usage: worldport <continentID> [x y z] [facing]	"Usage: worldport <continentID> [x y z] [facing]"	ds
009e2bfc	Usage: setrawpos [x y z] [facing]	"Usage: setrawpos [x y z] [facing]"	ds
009e2d28	Fonts\NIM_____.TTF	"Fonts\\NIM_____.TTF"	ds
009e2d3c	Fonts\blei00d.TTF	"Fonts\\blei00d.TTF"	ds
009e2d50	Fonts\ZYKai_T.TTF	"Fonts\\ZYKai_T.TTF"	ds
009e2d64	Fonts\2002.TTF	"Fonts\\2002.TTF"	ds
009e2d74	Fonts\FRIZQT__.TTF	"Fonts\\FRIZQT__.TTF"	ds
009e2d88	Interface\Glues\LoadingBar\Loading-BarBorder	"Interface\\Glues\\LoadingBar\\Loading-BarBorder"	ds
009e2db8	Interface\Glues\LoadingBar\Loading-BarFill	"Interface\\Glues\\LoadingBar\\Loading-BarFill"	ds
009e2edb	:TRIAL_LOADING_MESSAGE	":TRIAL_LOADING_MESSAGE"	ds
009e2f50	.\LoadingScreen.cpp	".\\LoadingScreen.cpp"	ds
009e2f80	Interface\Glues\loading	"Interface\\Glues\\loading"	ds
009e2fa0	Interface\WorldMap\World\World%d	"Interface\\WorldMap\\World\\World%d"	ds
009e2fc4	Interface\Glues\LoadingScreens\DynamicElements	"Interface\\Glues\\LoadingScreens\\DynamicElements"	ds
009e3013	<Shaders\Pixel	"<Shaders\\Pixel"	ds
009e3024	Shaders\Vertex	"Shaders\\Vertex"	ds
009e30e4	CorExitProcess	"CorExitProcess"	ds
009e30f4	mscoree.dll	"mscoree.dll"	ds
009e3100	runtime error 	"runtime error "	ds
009e3110	TLOSS error
	"TLOSS error\r\n"	ds
009e3120	SING error
	"SING error\r\n"	ds
009e3130	DOMAIN error
	"DOMAIN error\r\n"	ds
009e3140	R6034
An application has made an attempt to load the C runtime library incorrectly.
Please contact the application's support team for more information.
	"R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n"	ds
009e31e0	R6033
- Attempt to use MSIL code from this assembly during native code initialization
This indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.
	"R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n"	ds
009e32d8	R6032
- not enough space for locale information
	"R6032\r\n- not enough space for locale information\r\n"	ds
009e3310	R6031
- Attempt to initialize the CRT more than once.
This indicates a bug in your application.
	"R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n"	ds
009e3374	R6030
- CRT not initialized
	"R6030\r\n- CRT not initialized\r\n"	ds
009e3394	R6028
- unable to initialize heap
	"R6028\r\n- unable to initialize heap\r\n"	ds
009e33bc	R6027
- not enough space for lowio initialization
	"R6027\r\n- not enough space for lowio initialization\r\n"	ds
009e33f4	R6026
- not enough space for stdio initialization
	"R6026\r\n- not enough space for stdio initialization\r\n"	ds
009e342c	R6025
- pure virtual function call
	"R6025\r\n- pure virtual function call\r\n"	ds
009e3454	R6024
- not enough space for _onexit/atexit table
	"R6024\r\n- not enough space for _onexit/atexit table\r\n"	ds
009e348c	R6019
- unable to open console device
	"R6019\r\n- unable to open console device\r\n"	ds
009e34b8	R6018
- unexpected heap error
	"R6018\r\n- unexpected heap error\r\n"	ds
009e34dc	R6017
- unexpected multithread lock error
	"R6017\r\n- unexpected multithread lock error\r\n"	ds
009e350c	R6016
- not enough space for thread data
	"R6016\r\n- not enough space for thread data\r\n"	ds
009e3538	
This application has requested the Runtime to terminate it in an unusual way.
Please contact the application's support team for more information.
	"\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n"	ds
009e35d0	R6009
- not enough space for environment
	"R6009\r\n- not enough space for environment\r\n"	ds
009e35fc	R6008
- not enough space for arguments
	"R6008\r\n- not enough space for arguments\r\n"	ds
009e3628	R6002
- floating point support not loaded
	"R6002\r\n- floating point support not loaded\r\n"	ds
009e3658	Microsoft Visual C++ Runtime Library	"Microsoft Visual C++ Runtime Library"	ds
009e3688	<program name unknown>	"<program name unknown>"	ds
009e36a0	Runtime Error!

Program: 	"Runtime Error!\n\nProgram: "	ds
009e36bc	.mixcrt	".mixcrt"	ds
009e36c4	EncodePointer	"EncodePointer"	ds
009e36d4	KERNEL32.DLL	"KERNEL32.DLL"	ds
009e36e4	DecodePointer	"DecodePointer"	ds
009e36f4	FlsFree	"FlsFree"	ds
009e36fc	FlsSetValue	"FlsSetValue"	ds
009e3708	FlsGetValue	"FlsGetValue"	ds
009e3714	FlsAlloc	"FlsAlloc"	ds
009e3720	e+000	"e+000"	ds
009e3736	GAIsProcessorFeaturePresent	"GAIsProcessorFeaturePresent"	ds
009e3754	KERNEL32	"KERNEL32"	ds
009e3760	(null)	u"(null)"	unicode
009e3771	null)	"null)"	ds
009e37d4	_nextafter	"_nextafter"	ds
009e37f4	frexp	"frexp"	ds
009e3814	ldexp	"ldexp"	ds
009e382c	floor	"floor"	ds
009e3850	atan2	"atan2"	ds
009e3888	log10	"log10"	ds
009e389c	InitializeCriticalSectionAndSpinCount	"InitializeCriticalSectionAndSpinCount"	ds
009e38c4	kernel32.dll	"kernel32.dll"	ds
009e38d4	GetProcessWindowStation	"GetProcessWindowStation"	ds
009e38ec	GetUserObjectInformationA	"GetUserObjectInformationA"	ds
009e3908	GetLastActivePopup	"GetLastActivePopup"	ds
009e391c	GetActiveWindow	"GetActiveWindow"	ds
009e392c	MessageBoxA	"MessageBoxA"	ds
009e3938	USER32.DLL	"USER32.DLL"	ds
009e39dc	 Complete Object Locator'	" Complete Object Locator'"	ds
009e39f8	 Class Hierarchy Descriptor'	" Class Hierarchy Descriptor'"	ds
009e3a18	 Base Class Array'	" Base Class Array'"	ds
009e3a2c	 Base Class Descriptor at (	" Base Class Descriptor at ("	ds
009e3a48	 Type Descriptor'	" Type Descriptor'"	ds
009e3a5c	`local static thread guard'	"`local static thread guard'"	ds
009e3a78	`managed vector copy constructor iterator'	"`managed vector copy constructor iterator'"	ds
009e3aa4	`vector vbase copy constructor iterator'	"`vector vbase copy constructor iterator'"	ds
009e3ad0	`vector copy constructor iterator'	"`vector copy constructor iterator'"	ds
009e3af4	`dynamic atexit destructor for '	"`dynamic atexit destructor for '"	ds
009e3b18	`dynamic initializer for '	"`dynamic initializer for '"	ds
009e3b34	`eh vector vbase copy constructor iterator'	"`eh vector vbase copy constructor iterator'"	ds
009e3b60	`eh vector copy constructor iterator'	"`eh vector copy constructor iterator'"	ds
009e3b88	`managed vector destructor iterator'	"`managed vector destructor iterator'"	ds
009e3bb0	`managed vector constructor iterator'	"`managed vector constructor iterator'"	ds
009e3bd8	`placement delete[] closure'	"`placement delete[] closure'"	ds
009e3bf8	`placement delete closure'	"`placement delete closure'"	ds
009e3c14	`omni callsig'	"`omni callsig'"	ds
009e3c24	 delete[]	" delete[]"	ds
009e3c30	 new[]	" new[]"	ds
009e3c38	`local vftable constructor closure'	"`local vftable constructor closure'"	ds
009e3c5c	`local vftable'	"`local vftable'"	ds
009e3c6c	`RTTI	"`RTTI"	ds
009e3c78	`udt returning'	"`udt returning'"	ds
009e3c88	`copy constructor closure'	"`copy constructor closure'"	ds
009e3ca4	`eh vector vbase constructor iterator'	"`eh vector vbase constructor iterator'"	ds
009e3ccc	`eh vector destructor iterator'	"`eh vector destructor iterator'"	ds
009e3cec	`eh vector constructor iterator'	"`eh vector constructor iterator'"	ds
009e3d10	`virtual displacement map'	"`virtual displacement map'"	ds
009e3d2c	`vector vbase constructor iterator'	"`vector vbase constructor iterator'"	ds
